date,price
2006-01-03,51.815
2006-01-04,52.19
2006-01-05,52.205
2006-01-06,52.575
2006-01-09,53.405
2006-01-10,53.709999999999994
2006-01-11,53.620000000000005
2006-01-12,53.475
2006-01-13,53.66
2006-01-17,53.04
2006-01-18,52.835
2006-01-19,52.79
2006-01-20,51.935
2006-01-23,51.865
2006-01-24,52.39
2006-01-25,52.875
2006-01-26,53.215
2006-01-27,53.269999999999996
2006-01-30,52.870000000000005
2006-01-31,52.58
2006-02-01,52.57
2006-02-02,52.59
2006-02-03,52.58
2006-02-06,52.099999999999994
2006-02-07,52.235
2006-02-08,52.254999999999995
2006-02-09,53.255
2006-02-10,53.08
2006-02-13,53.215
2006-02-14,53.55
2006-02-15,53.900000000000006
2006-02-16,54.15
2006-02-17,54.295
2006-02-21,54.2
2006-02-22,54.45
2006-02-23,54.59
2006-02-24,54.730000000000004
2006-02-27,54.769999999999996
2006-02-28,54.185
2006-03-01,53.985
2006-03-02,54.019999999999996
2006-03-03,53.95
2006-03-06,53.885000000000005
2006-03-07,53.715
2006-03-08,53.735
2006-03-09,53.505
2006-03-10,53.705
2006-03-13,54.019999999999996
2006-03-14,53.894999999999996
2006-03-15,53.97
2006-03-16,54.150000000000006
2006-03-17,54.47
2006-03-20,54.54
2006-03-21,53.75
2006-03-22,53.49
2006-03-23,53.15
2006-03-24,52.985
2006-03-27,53.195
2006-03-28,53.004999999999995
2006-03-29,52.685
2006-03-30,52.254999999999995
2006-03-31,52.269999999999996
2006-04-03,52.725
2006-04-04,52.709999999999994
2006-04-05,53.155
2006-04-06,52.435
2006-04-07,52.114999999999995
2006-04-10,51.835
2006-04-11,51.519999999999996
2006-04-12,51.295
2006-04-13,51.14
2006-04-17,51.165
2006-04-18,51.63
2006-04-19,52.045
2006-04-20,52.245000000000005
2006-04-21,52.575
2006-04-24,52.065
2006-04-25,51.515
2006-04-26,51.715
2006-04-27,52.815
2006-04-28,53.875
2006-05-01,53.32
2006-05-02,52.795
2006-05-03,52.41
2006-05-04,52.55
2006-05-05,53.44
2006-05-08,53.790000000000006
2006-05-09,53.595
2006-05-10,53.595
2006-05-11,53.075
2006-05-12,52.79
2006-05-15,52.975
2006-05-16,53.04
2006-05-17,52.325
2006-05-18,52.15
2006-05-19,52.17
2006-05-22,51.95
2006-05-23,52.345
2006-05-24,52.97
2006-05-25,53.835
2006-05-26,54.34
2006-05-30,54.045
2006-05-31,54.075
2006-06-01,54.495000000000005
2006-06-02,54.575
2006-06-05,54.095
2006-06-06,53.400000000000006
2006-06-07,53.730000000000004
2006-06-08,53.285
2006-06-09,53.38
2006-06-12,53.230000000000004
2006-06-13,52.864999999999995
2006-06-14,52.43
2006-06-15,53.215
2006-06-16,53.16
2006-06-19,52.545
2006-06-20,52.815
2006-06-21,53.055
2006-06-22,52.745000000000005
2006-06-23,52.71
2006-06-26,52.8
2006-06-27,52.65
2006-06-28,52.39
2006-06-29,53.165
2006-06-30,53.754999999999995
2006-07-03,53.555
2006-07-05,52.775000000000006
2006-07-06,52.66
2006-07-07,52.185
2006-07-10,52.285
2006-07-11,52.245000000000005
2006-07-12,52.485
