date,price
2006-01-03,58.08
2006-01-04,58.754999999999995
2006-01-05,58.405
2006-01-06,59.08
2006-01-09,59.065
2006-01-10,59.114999999999995
2006-01-11,59.325
2006-01-12,60.1
2006-01-13,60.185
2006-01-17,61.31
2006-01-18,61.230000000000004
2006-01-19,60.980000000000004
2006-01-20,61.59
2006-01-23,61.45
2006-01-24,62.26
2006-01-25,61.54
2006-01-26,60.805
2006-01-27,60.28
2006-01-30,60.33
2006-01-31,59.935
2006-02-01,59.2
2006-02-02,58.4
2006-02-03,58.03
2006-02-06,58.71
2006-02-07,58.07
2006-02-08,57.489999999999995
2006-02-09,57.849999999999994
2006-02-10,57.195
2006-02-13,57.295
2006-02-14,55.855
2006-02-15,55.935
2006-02-16,56.275000000000006
2006-02-17,56.845
2006-02-21,57.945
2006-02-22,57.405
2006-02-23,57.269999999999996
2006-02-24,57.685
2006-02-27,57.385
2006-02-28,56.535
2006-03-01,56.96
2006-03-02,57.045
2006-03-03,57.055
2006-03-06,56.335
2006-03-07,55.445
2006-03-08,54.89
2006-03-09,55.025000000000006
2006-03-10,54.18
2006-03-13,54.82
2006-03-14,55.75
2006-03-15,56.14
2006-03-16,57.155
2006-03-17,57.53
2006-03-20,57.04
2006-03-21,56.625
2006-03-22,56.745000000000005
2006-03-23,56.535
2006-03-24,57.224999999999994
2006-03-27,57.875
2006-03-28,58.345
2006-03-29,58.185
2006-03-30,58.845
2006-03-31,58.04
2006-04-03,58.715
2006-04-04,58.605000000000004
2006-04-05,59.06
2006-04-06,59.400000000000006
2006-04-07,59.04
2006-04-10,59.465
2006-04-11,59.905
2006-04-12,59.004999999999995
2006-04-13,58.475
2006-04-17,59.239999999999995
2006-04-18,60.405
2006-04-19,60.769999999999996
2006-04-20,60.16
2006-04-21,60.81
2006-04-24,61.230000000000004
2006-04-25,61.0
2006-04-26,60.894999999999996
2006-04-27,59.84
2006-04-28,60.894999999999996
2006-05-01,61.555
2006-05-02,62.17
2006-05-03,62.08
2006-05-04,61.75
2006-05-05,62.44
2006-05-08,61.815
2006-05-09,62.535
2006-05-10,62.54
2006-05-11,63.075
2006-05-12,61.99
2006-05-15,60.78
2006-05-16,61.135000000000005
2006-05-17,59.605000000000004
2006-05-18,59.175
2006-05-19,58.364999999999995
2006-05-22,57.885000000000005
2006-05-23,58.775000000000006
2006-05-24,57.57
2006-05-25,58.885000000000005
2006-05-26,59.57
2006-05-30,59.245
2006-05-31,59.15
2006-06-01,59.63
2006-06-02,60.34
2006-06-05,60.305
2006-06-06,59.11
2006-06-07,58.435
2006-06-08,56.705
2006-06-09,57.82
2006-06-12,57.855
2006-06-13,57.425
2006-06-14,57.375
2006-06-15,58.980000000000004
2006-06-16,58.705
2006-06-19,57.915
2006-06-20,57.905
2006-06-21,58.34
2006-06-22,58.47
2006-06-23,58.97
2006-06-26,59.185
2006-06-27,60.675
2006-06-28,60.915
2006-06-29,62.25
2006-06-30,62.325
2006-07-03,62.629999999999995
2006-07-05,63.29
2006-07-06,64.14
2006-07-07,64.16499999999999
2006-07-10,63.945
2006-07-11,65.03
2006-07-12,65.195
2006-07-13,65.35
2006-07-14,66.11500000000001
2006-07-17,65.435
2006-07-18,65.43
2006-07-19,65.7
2006-07-20,65.72
2006-07-21,65.095
2006-07-24,65.64500000000001
2006-07-25,66.47999999999999
2006-07-26,67.38
2006-07-27,68.005
2006-07-28,65.69
2006-07-31,65.72
2006-08-01,65.855
2006-08-02,66.43
2006-08-03,65.82
2006-08-04,65.5
2006-08-07,66.42
2006-08-08,67.07
2006-08-09,67.78
2006-08-10,67.27
2006-08-11,67.55
2006-08-14,67.015
2006-08-15,67.125
2006-08-16,65.975
2006-08-17,65.495
2006-08-18,66.735
2006-08-21,67.14
2006-08-22,66.495
2006-08-23,66.03
2006-08-24,66.17500000000001
2006-08-25,67.1
2006-08-28,66.18
2006-08-29,65.565
2006-08-30,65.015
2006-08-31,64.77
2006-09-01,64.595
2006-09-05,66.25
2006-09-06,65.74
2006-09-07,65.72
2006-09-08,64.78999999999999
2006-09-11,62.53
2006-09-12,61.64
2006-09-13,62.04
2006-09-14,62.14
2006-09-15,61.665000000000006
2006-09-18,62.46
2006-09-19,62.335
2006-09-20,61.525
2006-09-21,61.735
2006-09-22,61.85
2006-09-25,61.775
2006-09-26,62.870000000000005
2006-09-27,64.015
2006-09-28,64.5
2006-09-29,64.575
2006-10-02,64.905
2006-10-03,63.465
2006-10-04,63.075
2006-10-05,63.945
2006-10-06,63.34
2006-10-09,63.665
2006-10-10,63.46
2006-10-11,63.415
2006-10-12,63.735
2006-10-13,64.33
2006-10-16,64.69
2006-10-17,64.945
2006-10-18,64.84
2006-10-19,65.0
2006-10-20,65.4
2006-10-23,65.08500000000001
2006-10-24,66.245
2006-10-25,67.34
2006-10-26,67.89
2006-10-27,67.95
2006-10-30,66.85
2006-10-31,66.555
2006-11-01,67.035
2006-11-02,67.21000000000001
2006-11-03,68.66499999999999
2006-11-06,69.35
2006-11-07,69.28
2006-11-08,69.19
2006-11-09,69.97
2006-11-10,69.765
2006-11-13,69.945
2006-11-14,70.285
2006-11-15,70.1
2006-11-16,69.475
2006-11-17,68.57
2006-11-20,69.32
2006-11-21,69.88499999999999
2006-11-22,69.75999999999999
2006-11-24,69.27
2006-11-27,69.035
2006-11-28,69.46
2006-11-29,70.955
2006-11-30,72.055
2006-12-01,72.545
2006-12-04,73.12
2006-12-05,73.475
2006-12-06,73.955
2006-12-07,73.525
2006-12-08,73.38499999999999
2006-12-11,73.35
2006-12-12,73.97
2006-12-13,74.295
2006-12-14,75.325
2006-12-15,75.545
2006-12-18,74.34
2006-12-19,73.64500000000001
2006-12-20,74.195
2006-12-21,73.35
2006-12-22,73.08500000000001
2006-12-26,72.965
2006-12-27,73.7
2006-12-28,74.26
2006-12-29,73.8
2007-01-03,71.9
2007-01-04,70.275
2007-01-05,70.62
2007-01-08,70.78
2007-01-09,70.595
2007-01-10,69.62
2007-01-11,69.81
2007-01-12,69.86
2007-01-16,69.965
2007-01-17,70.185
2007-01-18,70.93
2007-01-19,71.595
2007-01-22,71.775
2007-01-23,72.425
2007-01-24,72.475
2007-01-25,72.03
2007-01-26,71.80000000000001
2007-01-29,71.77
2007-01-30,72.46
2007-01-31,72.86500000000001
2007-02-01,74.03
2007-02-02,73.96000000000001
2007-02-05,73.875
2007-02-06,73.56
2007-02-07,73.315
2007-02-08,73.005
2007-02-09,73.53
2007-02-12,72.53
2007-02-13,72.715
2007-02-14,72.41
2007-02-15,71.61
2007-02-16,71.08
2007-02-20,70.33500000000001
2007-02-21,69.795
2007-02-22,70.4
2007-02-23,70.925
2007-02-26,71.57499999999999
2007-02-27,69.62
2007-02-28,69.055
2007-03-01,66.755
2007-03-02,67.035
2007-03-05,66.67
2007-03-06,67.24
2007-03-07,68.69
2007-03-08,68.525
2007-03-09,68.52000000000001
2007-03-12,68.63
2007-03-13,68.59
2007-03-14,67.86
2007-03-15,68.55000000000001
2007-03-16,68.63
2007-03-19,69.13499999999999
2007-03-20,69.66499999999999
2007-03-21,70.77
2007-03-22,72.37
2007-03-23,73.64500000000001
2007-03-26,74.03
2007-03-27,73.995
2007-03-28,74.22
2007-03-29,74.65
2007-03-30,74.095
2007-04-02,74.55
2007-04-03,75.03
2007-04-04,75.2
2007-04-05,75.61
2007-04-09,75.765
2007-04-10,76.435
2007-04-11,76.965
2007-04-12,76.76
2007-04-13,77.075
2007-04-16,77.325
2007-04-17,78.055
2007-04-18,77.71000000000001
2007-04-19,77.185
2007-04-20,77.845
2007-04-23,78.14
2007-04-24,77.36
2007-04-25,78.24000000000001
2007-04-26,77.84
2007-04-27,77.92
2007-04-30,78.41499999999999
2007-05-01,78.025
2007-05-02,78.53
2007-05-03,79.14500000000001
2007-05-04,79.57499999999999
2007-05-07,79.105
2007-05-08,79.53
2007-05-09,79.43
2007-05-10,78.915
2007-05-11,79.315
2007-05-14,80.38499999999999
2007-05-15,80.99000000000001
2007-05-16,80.27000000000001
2007-05-17,81.1
2007-05-18,82.36
2007-05-21,83.07
2007-05-22,82.635
2007-05-23,82.03999999999999
2007-05-24,80.815
2007-05-25,80.705
2007-05-29,80.5
2007-05-30,81.225
2007-05-31,81.69
2007-06-01,82.12
2007-06-04,82.625
2007-06-05,82.605
2007-06-06,82.05000000000001
2007-06-07,81.08
2007-06-08,79.93
2007-06-11,81.025
2007-06-12,81.155
2007-06-13,81.13499999999999
2007-06-14,81.975
2007-06-15,83.18
2007-06-18,83.63499999999999
2007-06-19,83.35
2007-06-20,82.23
2007-06-21,82.19
2007-06-22,82.22
2007-06-25,82.58
2007-06-26,83.075
2007-06-27,82.81
2007-06-28,84.36500000000001
2007-06-29,84.35499999999999
2007-07-02,84.845
2007-07-03,85.145
2007-07-05,86.325
2007-07-06,87.26499999999999
2007-07-09,88.625
2007-07-10,89.00999999999999
2007-07-11,89.78999999999999
2007-07-12,92.06
2007-07-13,93.94
2007-07-16,92.69999999999999
2007-07-17,91.89
2007-07-18,92.015
2007-07-19,93.105
2007-07-20,92.345
2007-07-23,92.155
2007-07-24,90.86
2007-07-25,90.07
2007-07-26,88.36
2007-07-27,86.77
2007-07-30,85.445
2007-07-31,86.305
2007-08-01,86.025
2007-08-02,84.295
2007-08-03,82.78999999999999
