date,price
2006-01-03,24.240000000000002
2006-01-04,24.23
2006-01-05,24.395000000000003
2006-01-06,24.615000000000002
2006-01-09,24.875
2006-01-10,25.165
2006-01-11,25.52
2006-01-12,25.655
2006-01-13,25.619999999999997
2006-01-17,25.604999999999997
2006-01-18,25.17
2006-01-19,25.605
2006-01-20,26.05
2006-01-23,25.525
2006-01-24,25.865000000000002
2006-01-25,25.775
2006-01-26,25.24
2006-01-27,25.134999999999998
2006-01-30,25.38
2006-01-31,25.37
2006-02-01,25.244999999999997
2006-02-02,25.085
2006-02-03,25.005
2006-02-06,25.155
2006-02-07,26.189999999999998
2006-02-08,26.82
2006-02-09,26.715
2006-02-10,26.615000000000002
2006-02-13,26.505000000000003
2006-02-14,26.619999999999997
2006-02-15,26.765
2006-02-16,26.950000000000003
2006-02-17,27.009999999999998
2006-02-21,26.895000000000003
2006-02-22,27.35
2006-02-23,27.575000000000003
2006-02-24,27.799999999999997
2006-02-27,28.235
2006-02-28,28.14
2006-03-01,28.055
2006-03-02,27.905
2006-03-03,28.175
2006-03-06,28.049999999999997
2006-03-07,27.905
2006-03-08,28.03
2006-03-09,28.049999999999997
2006-03-10,28.12
2006-03-13,28.39
2006-03-14,28.54
2006-03-15,28.700000000000003
2006-03-16,28.68
2006-03-17,28.67
2006-03-20,28.665
2006-03-21,28.335
2006-03-22,27.975
2006-03-23,27.655
2006-03-24,27.515
2006-03-27,27.42
2006-03-28,27.25
2006-03-29,27.64
2006-03-30,27.869999999999997
2006-03-31,27.87
2006-04-03,27.939999999999998
2006-04-04,28.015
2006-04-05,27.785
2006-04-06,27.604999999999997
2006-04-07,27.685000000000002
2006-04-10,27.775
2006-04-11,27.835
2006-04-12,27.865000000000002
2006-04-13,27.884999999999998
2006-04-17,27.725
2006-04-18,27.945
2006-04-19,27.785
2006-04-20,27.415
2006-04-21,27.225
2006-04-24,27.045
2006-04-25,27.205
2006-04-26,27.21
2006-04-27,27.425
2006-04-28,27.9
2006-05-01,27.905
2006-05-02,27.905
2006-05-03,28.025
2006-05-04,28.295
2006-05-05,28.825
2006-05-08,28.965
2006-05-09,29.19
2006-05-10,29.884999999999998
2006-05-11,29.73
2006-05-12,29.795
2006-05-15,29.86
2006-05-16,30.16
2006-05-17,29.975
2006-05-18,29.555
2006-05-19,30.015
2006-05-22,30.085
2006-05-23,30.2
2006-05-24,30.165
2006-05-25,30.17
2006-05-26,30.39
2006-05-30,30.314999999999998
2006-05-31,30.32
2006-06-01,30.57
2006-06-02,30.57
2006-06-05,30.72
2006-06-06,30.68
2006-06-07,30.725
2006-06-08,30.09
2006-06-09,29.625
2006-06-12,28.655
2006-06-13,28.475
2006-06-14,28.375
2006-06-15,28.875
2006-06-16,29.295
2006-06-19,29.225
2006-06-20,29.125
2006-06-21,29.395
2006-06-22,29.29
2006-06-23,29.07
2006-06-26,29.405
2006-06-27,29.485
2006-06-28,29.439999999999998
2006-06-29,29.78
2006-06-30,29.995
2006-07-03,30.134999999999998
2006-07-05,30.075
2006-07-06,30.195
2006-07-07,29.875
2006-07-10,30.095
2006-07-11,30.049999999999997
2006-07-12,30.055
2006-07-13,28.89
2006-07-14,28.424999999999997
2006-07-17,28.375
2006-07-18,28.73
2006-07-19,29.244999999999997
2006-07-20,29.435000000000002
2006-07-21,28.71
2006-07-24,28.95
2006-07-25,29.29
2006-07-26,29.435
2006-07-27,29.405
2006-07-28,29.525
2006-07-31,29.564999999999998
2006-08-01,29.535
2006-08-02,29.615000000000002
2006-08-03,29.745
2006-08-04,29.86
2006-08-07,29.54
