date,price
2006-01-03,35.099999999999994
2006-01-04,35.25
2006-01-05,35.225
2006-01-06,35.36
2006-01-09,35.335
2006-01-10,35.18
2006-01-11,35.325
2006-01-12,35.2
2006-01-13,35.025
2006-01-17,35.225
2006-01-18,34.76
2006-01-19,34.7
2006-01-20,33.86
2006-01-23,33.465
2006-01-24,33.23
2006-01-25,32.925
2006-01-26,32.905
2006-01-27,32.885000000000005
2006-01-30,32.895
2006-01-31,32.805
2006-02-01,32.915
2006-02-02,33.085
2006-02-03,32.955
2006-02-06,32.769999999999996
2006-02-07,32.47
2006-02-08,32.51
2006-02-09,32.9
2006-02-10,33.12
2006-02-13,33.269999999999996
2006-02-14,33.29
2006-02-15,33.4
2006-02-16,33.28
2006-02-17,33.45
2006-02-21,33.485
2006-02-22,33.625
2006-02-23,33.335
2006-02-24,33.16
2006-02-27,33.230000000000004
2006-02-28,33.075
2006-03-01,32.865
2006-03-02,32.745
2006-03-03,33.035
2006-03-06,33.1
2006-03-07,33.125
2006-03-08,33.269999999999996
2006-03-09,33.349999999999994
2006-03-10,33.47
2006-03-13,33.58
2006-03-14,33.665
2006-03-15,34.150000000000006
2006-03-16,34.52
2006-03-17,34.58
2006-03-20,34.55
2006-03-21,34.485
2006-03-22,34.455
2006-03-23,34.239999999999995
2006-03-24,34.004999999999995
2006-03-27,33.815
2006-03-28,33.67
2006-03-29,33.795
2006-03-30,34.4
2006-03-31,34.86
2006-04-03,34.790000000000006
2006-04-04,34.595
2006-04-05,34.565
2006-04-06,34.334999999999994
2006-04-07,34.379999999999995
2006-04-10,33.94
2006-04-11,33.85
2006-04-12,34.35
2006-04-13,33.985
2006-04-17,33.415
2006-04-18,33.59
2006-04-19,33.735
2006-04-20,33.905
2006-04-21,34.0
2006-04-24,33.9
2006-04-25,33.93
2006-04-26,34.16
2006-04-27,34.285
2006-04-28,34.565
2006-05-01,34.519999999999996
2006-05-02,34.345
2006-05-03,34.43
2006-05-04,34.709999999999994
2006-05-05,35.045
2006-05-08,35.105000000000004
2006-05-09,35.01
