date,price
2006-01-03,40.61
2006-01-04,40.635
2006-01-05,40.085
2006-01-06,40.3
2006-01-09,40.675
2006-01-10,41.755
2006-01-11,42.555
2006-01-12,42.72
2006-01-13,42.035
2006-01-17,41.620000000000005
2006-01-18,41.745000000000005
2006-01-19,41.56
2006-01-20,40.695
2006-01-23,40.114999999999995
2006-01-24,40.085
2006-01-25,40.224999999999994
2006-01-26,40.3
2006-01-27,40.245000000000005
2006-01-30,40.004999999999995
2006-01-31,40.34
2006-02-01,40.245
2006-02-02,40.025000000000006
2006-02-03,39.68
2006-02-06,39.650000000000006
2006-02-07,38.97
2006-02-08,39.11
2006-02-09,39.225
2006-02-10,39.010000000000005
2006-02-13,39.475
2006-02-14,40.519999999999996
2006-02-15,41.285
2006-02-16,41.645
2006-02-17,41.644999999999996
2006-02-21,42.355000000000004
2006-02-22,41.675
2006-02-23,41.915
2006-02-24,41.465
2006-02-27,42.235
2006-02-28,42.06
2006-03-01,42.095
2006-03-02,42.144999999999996
2006-03-03,42.355
2006-03-06,41.86
2006-03-07,41.459999999999994
2006-03-08,41.095
2006-03-09,40.74
2006-03-10,40.980000000000004
2006-03-13,41.19
2006-03-14,41.745000000000005
2006-03-15,42.055
2006-03-16,42.59
2006-03-17,42.855000000000004
2006-03-20,42.845
2006-03-21,42.94
2006-03-22,43.11
2006-03-23,43.595
2006-03-24,43.325
2006-03-27,42.945
2006-03-28,43.185
2006-03-29,43.04
2006-03-30,42.64
2006-03-31,42.58
2006-04-03,42.42
2006-04-04,42.38
2006-04-05,42.75
2006-04-06,42.345
2006-04-07,42.235
2006-04-10,41.879999999999995
2006-04-11,41.685
2006-04-12,41.099999999999994
2006-04-13,41.0
2006-04-17,40.635
2006-04-18,40.84
2006-04-19,41.075
2006-04-20,40.775
2006-04-21,40.57
2006-04-24,40.21
2006-04-25,39.92
2006-04-26,40.239999999999995
2006-04-27,40.215
2006-04-28,40.18
2006-05-01,40.435
2006-05-02,40.540000000000006
2006-05-03,40.315
2006-05-04,40.295
2006-05-05,40.974999999999994
2006-05-08,41.165000000000006
2006-05-09,41.32
2006-05-10,41.105000000000004
2006-05-11,40.925
2006-05-12,40.14
2006-05-15,40.019999999999996
2006-05-16,38.89
2006-05-17,37.825
2006-05-18,38.66
2006-05-19,38.825
2006-05-22,38.370000000000005
2006-05-23,38.225
2006-05-24,37.879999999999995
2006-05-25,38.165
2006-05-26,38.795
2006-05-30,38.025000000000006
2006-05-31,37.875
2006-06-01,38.254999999999995
2006-06-02,38.275
2006-06-05,37.769999999999996
2006-06-06,37.120000000000005
2006-06-07,37.015
2006-06-08,36.965
2006-06-09,37.075
2006-06-12,36.58
2006-06-13,36.47
2006-06-14,36.465
2006-06-15,37.09
2006-06-16,37.269999999999996
2006-06-19,37.004999999999995
2006-06-20,36.519999999999996
2006-06-21,36.595
2006-06-22,36.655
2006-06-23,37.565
2006-06-26,36.525
2006-06-27,36.504999999999995
2006-06-28,36.225
2006-06-29,36.205
2006-06-30,36.065
2006-07-03,35.84
2006-07-05,35.585
2006-07-06,35.565
2006-07-07,35.49
2006-07-10,35.215
2006-07-11,34.41
2006-07-12,34.004999999999995
2006-07-13,33.665
2006-07-14,33.995
2006-07-17,33.935
2006-07-18,33.21
2006-07-19,33.775000000000006
2006-07-20,34.555
2006-07-21,33.74
2006-07-24,34.44
2006-07-25,34.83
2006-07-26,34.754999999999995
2006-07-27,34.385000000000005
2006-07-28,34.644999999999996
2006-07-31,34.575
2006-08-01,34.225
2006-08-02,34.075
2006-08-03,34.11
2006-08-04,34.79
2006-08-07,34.55
2006-08-08,34.504999999999995
2006-08-09,33.945
2006-08-10,33.465
2006-08-11,33.4
2006-08-14,33.635
2006-08-15,34.25
2006-08-16,34.315
2006-08-17,34.75
2006-08-18,34.625
2006-08-21,34.22
2006-08-22,34.175
2006-08-23,33.705
2006-08-24,33.364999999999995
2006-08-25,33.485
2006-08-28,33.83
2006-08-29,33.905
2006-08-30,34.17
2006-08-31,34.205
2006-09-01,34.525
2006-09-05,34.7
2006-09-06,34.235
2006-09-07,34.185
2006-09-08,34.364999999999995
2006-09-11,34.715
2006-09-12,35.99
2006-09-13,36.974999999999994
2006-09-14,36.89
2006-09-15,37.2
2006-09-18,36.545
