date,price
2006-01-03,61.45
2006-01-04,62.2
2006-01-05,62.525000000000006
2006-01-06,62.44
2006-01-09,62.72
2006-01-10,62.8
2006-01-11,62.465
2006-01-12,62.175
2006-01-13,61.855000000000004
2006-01-17,61.585
2006-01-18,61.795
2006-01-19,62.16
2006-01-20,61.515
2006-01-23,60.925
2006-01-24,60.3
2006-01-25,59.519999999999996
2006-01-26,59.03
2006-01-27,58.78
2006-01-30,58.394999999999996
2006-01-31,57.895
2006-02-01,58.035
2006-02-02,57.985
2006-02-03,57.260000000000005
2006-02-06,57.105000000000004
2006-02-07,57.015
2006-02-08,57.835
2006-02-09,59.004999999999995
2006-02-10,58.5
2006-02-13,58.34
2006-02-14,58.985
2006-02-15,59.05
2006-02-16,59.015
2006-02-17,59.005
2006-02-21,59.035
2006-02-22,58.95
2006-02-23,58.755
2006-02-24,58.055
2006-02-27,58.19
2006-02-28,57.67
2006-03-01,57.635000000000005
2006-03-02,57.855000000000004
2006-03-03,57.795
2006-03-06,57.79
2006-03-07,57.92
2006-03-08,58.34
2006-03-09,58.61
2006-03-10,58.769999999999996
2006-03-13,59.185
2006-03-14,59.215
2006-03-15,59.525000000000006
2006-03-16,59.965
2006-03-17,60.275
2006-03-20,60.425
2006-03-21,60.625
2006-03-22,60.7
2006-03-23,60.76
2006-03-24,60.545
2006-03-27,60.075
2006-03-28,59.69
2006-03-29,59.575
2006-03-30,59.425
2006-03-31,59.394999999999996
2006-04-03,59.44
2006-04-04,59.03
2006-04-05,58.644999999999996
2006-04-06,58.425
2006-04-07,58.21
2006-04-10,57.715
2006-04-11,57.67
2006-04-12,57.875
2006-04-13,57.765
2006-04-17,57.64
2006-04-18,57.905
2006-04-19,58.115
2006-04-20,58.260000000000005
2006-04-21,58.33
2006-04-24,58.4
2006-04-25,58.285
2006-04-26,58.465
2006-04-27,58.56
2006-04-28,58.644999999999996
2006-05-01,58.665
2006-05-02,58.78
2006-05-03,58.47
2006-05-04,58.33
2006-05-05,58.585
2006-05-08,58.765
2006-05-09,58.555
2006-05-10,58.370000000000005
2006-05-11,58.835
2006-05-12,58.825
2006-05-15,59.425
2006-05-16,60.165
2006-05-17,60.370000000000005
2006-05-18,60.26
2006-05-19,59.935
2006-05-22,59.925
2006-05-23,60.26
2006-05-24,60.46
2006-05-25,60.53
2006-05-26,60.685
2006-05-30,60.185
2006-05-31,60.08
2006-06-01,60.455
2006-06-02,60.730000000000004
2006-06-05,60.295
2006-06-06,60.805
2006-06-07,61.349999999999994
2006-06-08,61.394999999999996
2006-06-09,61.5
2006-06-12,61.5
2006-06-13,61.349999999999994
2006-06-14,61.17
2006-06-15,61.215
2006-06-16,61.525
2006-06-19,61.5
2006-06-20,61.455
2006-06-21,61.7
2006-06-22,61.46
2006-06-23,61.370000000000005
2006-06-26,59.879999999999995
2006-06-27,59.885
2006-06-28,59.275
2006-06-29,59.625
2006-06-30,60.129999999999995
2006-07-03,60.2
2006-07-05,60.11
2006-07-06,60.37
2006-07-07,60.65
2006-07-10,60.845
2006-07-11,60.795
2006-07-12,60.760000000000005
2006-07-13,60.465
2006-07-14,60.605000000000004
2006-07-17,60.925
2006-07-18,60.35
2006-07-19,60.99
2006-07-20,61.465
2006-07-21,61.78
2006-07-24,61.815
2006-07-25,61.745000000000005
2006-07-26,61.9
2006-07-27,62.31
2006-07-28,62.725
2006-07-31,62.705
2006-08-01,62.57
2006-08-02,63.040000000000006
2006-08-03,63.19
2006-08-04,63.44
2006-08-07,63.3
2006-08-08,63.555
2006-08-09,63.375
2006-08-10,63.525
2006-08-11,63.595
2006-08-14,63.870000000000005
2006-08-15,64.165
2006-08-16,64.58500000000001
2006-08-17,64.405
2006-08-18,64.375
2006-08-21,64.38499999999999
2006-08-22,64.185
2006-08-23,63.93
2006-08-24,64.685
2006-08-25,64.75
2006-08-28,64.71000000000001
2006-08-29,64.475
2006-08-30,64.69999999999999
2006-08-31,64.58
2006-09-01,64.735
2006-09-05,64.475
2006-09-06,64.08500000000001
2006-09-07,63.475
2006-09-08,63.565
2006-09-11,63.825
2006-09-12,63.91
2006-09-13,63.905
2006-09-14,63.635000000000005
2006-09-15,63.870000000000005
2006-09-18,64.11
2006-09-19,64.075
2006-09-20,64.32
2006-09-21,64.22999999999999
2006-09-22,63.980000000000004
2006-09-25,64.18
2006-09-26,64.535
2006-09-27,64.695
2006-09-28,64.92500000000001
2006-09-29,64.83000000000001
2006-10-02,65.13499999999999
2006-10-03,65.325
2006-10-04,65.625
2006-10-05,65.375
2006-10-06,65.00999999999999
2006-10-09,64.83
2006-10-10,64.84
2006-10-11,65.0
2006-10-12,65.035
2006-10-13,65.12
2006-10-16,64.89
2006-10-17,66.0
2006-10-18,67.325
2006-10-19,68.03
2006-10-20,68.705
2006-10-23,68.87
2006-10-24,68.56
2006-10-25,68.71000000000001
2006-10-26,68.485
2006-10-27,68.32
2006-10-30,67.955
2006-10-31,67.515
2006-11-01,67.21
2006-11-02,67.545
2006-11-03,68.03999999999999
2006-11-06,68.03999999999999
2006-11-07,68.58500000000001
2006-11-08,67.85499999999999
2006-11-09,66.78
2006-11-10,65.89500000000001
2006-11-13,66.265
2006-11-14,66.02000000000001
2006-11-15,66.71000000000001
2006-11-16,66.225
2006-11-17,67.07499999999999
2006-11-20,67.215
2006-11-21,66.685
2006-11-22,66.72
2006-11-24,66.19999999999999
2006-11-27,65.525
2006-11-28,65.8
2006-11-29,66.025
2006-11-30,66.055
2006-12-01,65.695
2006-12-04,66.265
2006-12-05,66.155
2006-12-06,66.025
2006-12-07,66.295
2006-12-08,65.965
2006-12-11,65.72999999999999
2006-12-12,65.595
2006-12-13,65.71000000000001
2006-12-14,66.07
2006-12-15,66.035
2006-12-18,66.53
2006-12-19,66.94
2006-12-20,66.61500000000001
2006-12-21,66.13
2006-12-22,65.7
2006-12-26,65.63
2006-12-27,65.965
2006-12-28,66.22999999999999
2006-12-29,66.215
2007-01-03,66.60499999999999
2007-01-04,66.76
2007-01-05,66.875
2007-01-08,66.4
2007-01-09,66.49
2007-01-10,66.315
2007-01-11,66.56
2007-01-12,66.55
2007-01-16,66.525
2007-01-17,66.9
2007-01-18,67.145
2007-01-19,67.875
2007-01-22,67.64
2007-01-23,66.685
2007-01-24,66.695
2007-01-25,66.77000000000001
2007-01-26,66.43
2007-01-29,66.2
2007-01-30,66.35
2007-01-31,66.58500000000001
2007-02-01,66.785
2007-02-02,66.82
2007-02-05,66.35
2007-02-06,66.11000000000001
2007-02-07,65.875
2007-02-08,65.785
2007-02-09,65.815
2007-02-12,65.61500000000001
2007-02-13,65.4
2007-02-14,65.65
2007-02-15,65.76
2007-02-16,65.49
2007-02-20,65.545
2007-02-21,65.18
2007-02-22,64.86
2007-02-23,64.3
2007-02-26,64.25
2007-02-27,63.48
2007-02-28,63.269999999999996
2007-03-01,62.34
2007-03-02,62.09
2007-03-05,61.900000000000006
2007-03-06,61.795
2007-03-07,62.06
2007-03-08,61.95
2007-03-09,62.125
2007-03-12,61.879999999999995
2007-03-13,61.17
2007-03-14,60.629999999999995
2007-03-15,60.58
2007-03-16,60.565
2007-03-19,60.584999999999994
2007-03-20,60.995000000000005
2007-03-21,60.9
2007-03-22,61.135
2007-03-23,60.8
2007-03-26,60.334999999999994
2007-03-27,60.095
2007-03-28,60.135
2007-03-29,60.25
2007-03-30,60.2
2007-04-02,60.215
2007-04-03,60.56
