date,price
2006-01-03,26.55
2006-01-04,26.924999999999997
2006-01-05,27.02
2006-01-06,26.744999999999997
2006-01-09,26.915
2006-01-10,26.805
2006-01-11,27.145
2006-01-12,27.115000000000002
2006-01-13,27.130000000000003
2006-01-17,27.045
2006-01-18,26.84
2006-01-19,27.045
2006-01-20,26.635
2006-01-23,26.415
2006-01-24,26.335
2006-01-25,26.4
2006-01-26,26.515
2006-01-27,27.57
2006-01-30,27.98
2006-01-31,28.125
2006-02-01,27.915
2006-02-02,27.77
2006-02-03,27.52
2006-02-06,27.314999999999998
2006-02-07,26.979999999999997
2006-02-08,26.895
2006-02-09,26.84
2006-02-10,26.700000000000003
2006-02-13,26.52
2006-02-14,26.515
2006-02-15,26.715
2006-02-16,26.735
2006-02-17,26.685
2006-02-21,26.53
2006-02-22,26.665
2006-02-23,26.715
2006-02-24,26.63
2006-02-27,26.965000000000003
2006-02-28,27.085
2006-03-01,27.075
2006-03-02,27.0
2006-03-03,26.95
2006-03-06,26.99
2006-03-07,26.955
2006-03-08,27.235
2006-03-09,27.21
2006-03-10,27.049999999999997
2006-03-13,27.115000000000002
2006-03-14,27.185
2006-03-15,27.23
2006-03-16,27.35
2006-03-17,27.465
2006-03-20,27.83
2006-03-21,27.95
2006-03-22,27.15
2006-03-23,26.880000000000003
2006-03-24,26.915
2006-03-27,27.15
2006-03-28,27.009999999999998
2006-03-29,27.060000000000002
2006-03-30,27.195
2006-03-31,27.375
2006-04-03,27.585
2006-04-04,27.634999999999998
2006-04-05,27.79
2006-04-06,27.545
2006-04-07,27.475
2006-04-10,27.32
2006-04-11,27.16
2006-04-12,27.085
2006-04-13,27.1
2006-04-17,26.89
2006-04-18,27.16
2006-04-19,27.075000000000003
2006-04-20,26.945
2006-04-21,27.195
2006-04-24,27.115000000000002
2006-04-25,27.115000000000002
2006-04-26,27.115000000000002
2006-04-27,27.285
2006-04-28,24.25
2006-05-01,24.545
2006-05-02,24.45
2006-05-03,23.585
2006-05-04,23.405
2006-05-05,23.735
2006-05-08,24.255000000000003
2006-05-09,23.744999999999997
2006-05-10,23.689999999999998
2006-05-11,23.47
2006-05-12,23.21
2006-05-15,23.130000000000003
2006-05-16,23.455
2006-05-17,22.905
2006-05-18,22.950000000000003
2006-05-19,22.71
2006-05-22,22.735
2006-05-23,23.075
2006-05-24,23.259999999999998
2006-05-25,23.73
2006-05-26,23.72
2006-05-30,23.450000000000003
2006-05-31,23.0
2006-06-01,22.73
2006-06-02,22.83
2006-06-05,22.61
2006-06-06,22.27
2006-06-07,22.200000000000003
2006-06-08,22.09
2006-06-09,22.04
2006-06-12,21.9
2006-06-13,21.745
2006-06-14,21.745
2006-06-15,21.965
2006-06-16,22.035
2006-06-19,22.36
2006-06-20,22.630000000000003
2006-06-21,22.84
2006-06-22,22.975
2006-06-23,22.685000000000002
2006-06-26,22.759999999999998
2006-06-27,23.0
2006-06-28,23.08
2006-06-29,23.424999999999997
2006-06-30,23.475
2006-07-03,23.585
2006-07-05,23.41
2006-07-06,23.515
2006-07-07,23.425
2006-07-10,23.52
2006-07-11,23.055
2006-07-12,22.75
2006-07-13,22.43
2006-07-14,22.39
2006-07-17,22.435000000000002
2006-07-18,22.62
2006-07-19,23.09
2006-07-20,23.115000000000002
2006-07-21,23.575
2006-07-24,23.95
2006-07-25,24.095
2006-07-26,24.315
2006-07-27,24.185000000000002
2006-07-28,24.17
2006-07-31,24.215000000000003
2006-08-01,24.025
2006-08-02,24.215
2006-08-03,24.314999999999998
2006-08-04,24.32
2006-08-07,24.335
2006-08-08,24.36
2006-08-09,24.490000000000002
2006-08-10,24.47
2006-08-11,24.325
2006-08-14,24.475
2006-08-15,24.545
2006-08-16,24.6
2006-08-17,24.68
2006-08-18,25.39
2006-08-21,25.845
2006-08-22,25.935000000000002
2006-08-23,25.735
2006-08-24,25.68
2006-08-25,25.845
2006-08-28,25.845
2006-08-29,25.805
2006-08-30,25.765
2006-08-31,25.83
2006-09-01,25.805
2006-09-05,25.759999999999998
2006-09-06,25.615000000000002
2006-09-07,25.545
2006-09-08,25.625
2006-09-11,25.685000000000002
2006-09-12,25.85
2006-09-13,25.795
2006-09-14,26.240000000000002
2006-09-15,26.715
2006-09-18,26.855
2006-09-19,26.83
2006-09-20,27.11
2006-09-21,27.05
2006-09-22,26.665
2006-09-25,26.990000000000002
2006-09-26,27.1
2006-09-27,27.295
2006-09-28,27.39
2006-09-29,27.315
2006-10-02,27.32
2006-10-03,27.345
2006-10-04,27.665
2006-10-05,27.945
2006-10-06,27.825
2006-10-09,27.775
2006-10-10,27.595
2006-10-11,27.545
2006-10-12,27.915
2006-10-13,28.5
2006-10-16,28.465
2006-10-17,28.340000000000003
2006-10-18,28.48
2006-10-19,28.285
2006-10-20,28.33
2006-10-23,28.435000000000002
2006-10-24,28.28
2006-10-25,28.3
2006-10-26,28.225
2006-10-27,28.52
2006-10-30,28.58
2006-10-31,28.705
2006-11-01,28.845
2006-11-02,28.72
2006-11-03,28.77
2006-11-06,28.905
2006-11-07,28.935000000000002
2006-11-08,28.945
2006-11-09,29.2
2006-11-10,29.22
2006-11-13,29.310000000000002
2006-11-14,29.245
2006-11-15,29.235
2006-11-16,29.384999999999998
2006-11-17,29.41
2006-11-20,29.75
2006-11-21,29.895
2006-11-22,29.91
2006-11-24,29.740000000000002
2006-11-27,29.534999999999997
2006-11-28,29.275
2006-11-29,29.605
2006-11-30,29.45
2006-12-01,29.1
2006-12-04,29.345
2006-12-05,29.215
2006-12-06,29.0
2006-12-07,28.939999999999998
2006-12-08,29.1
2006-12-11,29.43
2006-12-12,29.424999999999997
2006-12-13,29.46
2006-12-14,29.799999999999997
2006-12-15,30.130000000000003
2006-12-18,30.020000000000003
2006-12-19,29.85
2006-12-20,30.104999999999997
2006-12-21,30.015
