date,price
2006-01-03,45.260000000000005
2006-01-04,46.230000000000004
2006-01-05,46.78
2006-01-06,47.31
2006-01-09,47.0
2006-01-10,46.89
2006-01-11,47.36
2006-01-12,47.585
2006-01-13,47.25
2006-01-17,46.775
2006-01-18,46.480000000000004
2006-01-19,46.224999999999994
2006-01-20,45.495000000000005
2006-01-23,45.405
2006-01-24,45.315
2006-01-25,44.879999999999995
2006-01-26,46.010000000000005
2006-01-27,46.525000000000006
2006-01-30,46.525
2006-01-31,45.650000000000006
2006-02-01,45.69
2006-02-02,44.79
2006-02-03,45.120000000000005
2006-02-06,44.265
2006-02-07,44.05
2006-02-08,43.535
2006-02-09,43.614999999999995
2006-02-10,43.59
2006-02-13,43.489999999999995
2006-02-14,44.165000000000006
2006-02-15,44.11
2006-02-16,43.735
2006-02-17,43.17
2006-02-21,42.555
2006-02-22,42.959999999999994
2006-02-23,42.32
2006-02-24,42.489999999999995
2006-02-27,42.879999999999995
2006-02-28,42.875
2006-03-01,42.93
2006-03-02,42.555
2006-03-03,42.565
2006-03-06,42.59
2006-03-07,42.394999999999996
2006-03-08,42.465
2006-03-09,42.31
2006-03-10,42.28
2006-03-13,42.6
2006-03-14,42.730000000000004
2006-03-15,42.875
2006-03-16,43.04
2006-03-17,42.150000000000006
2006-03-20,42.055
2006-03-21,41.644999999999996
2006-03-22,41.61
2006-03-23,41.41
2006-03-24,41.265
2006-03-27,41.269999999999996
2006-03-28,40.935
2006-03-29,41.51
2006-03-30,42.135000000000005
2006-03-31,41.935
2006-04-03,42.09
2006-04-04,42.260000000000005
2006-04-05,42.36
2006-04-06,42.545
2006-04-07,41.735
2006-04-10,41.3
2006-04-11,41.55
2006-04-12,41.3
2006-04-13,41.12
2006-04-17,40.805
2006-04-18,41.465
2006-04-19,42.45
2006-04-20,43.105000000000004
2006-04-21,42.915
2006-04-24,42.760000000000005
2006-04-25,43.2
2006-04-26,43.480000000000004
2006-04-27,43.805
2006-04-28,44.045
2006-05-01,43.74
2006-05-02,45.39
2006-05-03,45.9
2006-05-04,46.025000000000006
2006-05-05,45.730000000000004
2006-05-08,45.614999999999995
2006-05-09,45.515
2006-05-10,45.295
2006-05-11,45.675
2006-05-12,45.005
2006-05-15,44.415
2006-05-16,44.835
2006-05-17,44.635000000000005
2006-05-18,44.504999999999995
2006-05-19,44.58
2006-05-22,44.42
2006-05-23,44.21
2006-05-24,43.795
2006-05-25,43.805
2006-05-26,43.89
2006-05-30,43.504999999999995
2006-05-31,43.605000000000004
2006-06-01,44.17
2006-06-02,44.0
2006-06-05,43.185
2006-06-06,42.44
2006-06-07,42.745000000000005
2006-06-08,42.995000000000005
2006-06-09,43.165
2006-06-12,42.965
2006-06-13,42.56
2006-06-14,42.295
2006-06-15,43.195
2006-06-16,43.739999999999995
2006-06-19,44.14
2006-06-20,44.245000000000005
2006-06-21,44.12
2006-06-22,44.34
2006-06-23,44.14
2006-06-26,44.405
2006-06-27,44.18
2006-06-28,43.8
2006-06-29,44.385
2006-06-30,44.735
2006-07-03,44.86
2006-07-05,44.65
2006-07-06,44.57
2006-07-07,44.370000000000005
2006-07-10,44.44
2006-07-11,44.285
2006-07-12,44.435
2006-07-13,43.89
2006-07-14,43.55
2006-07-17,43.635000000000005
2006-07-18,43.1
2006-07-19,43.955
2006-07-20,44.269999999999996
2006-07-21,44.185
2006-07-24,44.825
2006-07-25,45.144999999999996
2006-07-26,45.144999999999996
2006-07-27,45.12
2006-07-28,45.735
2006-07-31,45.95
2006-08-01,44.92
2006-08-02,45.095
2006-08-03,44.855
2006-08-04,44.875
2006-08-07,44.465
2006-08-08,44.22
2006-08-09,43.485
2006-08-10,43.045
2006-08-11,42.730000000000004
2006-08-14,43.085
2006-08-15,43.795
2006-08-16,44.41
