date,price
2006-01-03,61.6
2006-01-04,61.900000000000006
2006-01-05,62.185
2006-01-06,62.480000000000004
2006-01-09,62.08
2006-01-10,62.105000000000004
2006-01-11,62.16
2006-01-12,62.325
2006-01-13,60.525000000000006
2006-01-17,60.489999999999995
2006-01-18,61.17
2006-01-19,60.695
2006-01-20,60.394999999999996
2006-01-23,58.775
2006-01-24,58.375
2006-01-25,58.165000000000006
2006-01-26,57.82
2006-01-27,58.394999999999996
2006-01-30,58.175
2006-01-31,58.980000000000004
2006-02-01,59.4
2006-02-02,59.245000000000005
2006-02-03,59.49
2006-02-06,58.925
2006-02-07,58.39
2006-02-08,56.665
2006-02-09,58.614999999999995
2006-02-10,58.09
2006-02-13,58.475
2006-02-14,58.985
2006-02-15,59.235
2006-02-16,58.695
2006-02-17,58.114999999999995
2006-02-21,58.489999999999995
2006-02-22,59.07
2006-02-23,59.625
2006-02-24,58.985
2006-02-27,58.989999999999995
2006-02-28,58.445
2006-03-01,58.150000000000006
2006-03-02,57.72
2006-03-03,57.08
2006-03-06,56.510000000000005
2006-03-07,56.71
2006-03-08,56.835
2006-03-09,57.07
2006-03-10,56.47
2006-03-13,54.975
2006-03-14,56.195
2006-03-15,57.035
2006-03-16,56.900000000000006
2006-03-17,56.53
2006-03-20,56.53
2006-03-21,56.235
2006-03-22,55.955
2006-03-23,56.2
2006-03-24,56.115
2006-03-27,55.29
2006-03-28,54.02
2006-03-29,55.925
2006-03-30,56.345
2006-03-31,56.075
2006-04-03,55.97
2006-04-04,55.35
2006-04-05,55.39
2006-04-06,54.545
2006-04-07,54.44
2006-04-10,52.53
2006-04-11,51.845
2006-04-12,52.56
2006-04-13,53.43
2006-04-17,52.24
2006-04-18,51.22
2006-04-19,48.72
2006-04-20,49.915
2006-04-21,50.114999999999995
2006-04-24,49.765
2006-04-25,49.87
2006-04-26,49.4
2006-04-27,47.525000000000006
2006-04-28,48.91
2006-05-01,49.76
2006-05-02,49.225
2006-05-03,47.32
2006-05-04,46.614999999999995
2006-05-05,46.400000000000006
2006-05-08,45.765
2006-05-09,44.055
2006-05-10,45.370000000000005
2006-05-11,44.635000000000005
2006-05-12,44.885000000000005
2006-05-15,46.295
2006-05-16,47.394999999999996
2006-05-17,46.94
2006-05-18,45.43
2006-05-19,44.8
2006-05-22,43.975
2006-05-23,43.445
2006-05-24,42.105000000000004
2006-05-25,42.39
2006-05-26,42.93
2006-05-30,43.305
2006-05-31,43.805
2006-06-01,44.989999999999995
2006-06-02,46.825
2006-06-05,46.575
2006-06-06,46.16
2006-06-07,46.535
2006-06-08,46.370000000000005
2006-06-09,45.959999999999994
2006-06-12,45.599999999999994
2006-06-13,45.2
2006-06-14,44.91
2006-06-15,44.675
2006-06-16,44.595
2006-06-19,43.905
2006-06-20,43.835
2006-06-21,44.05
2006-06-22,44.7
2006-06-23,44.89
2006-06-26,45.175
2006-06-27,44.57
2006-06-28,43.75
2006-06-29,45.125
2006-06-30,44.79
2006-07-03,44.735
2006-07-05,44.765
2006-07-06,45.08
2006-07-07,45.3
2006-07-10,46.2
2006-07-11,47.925
2006-07-12,48.36
